Wind_Speed,Rotate_Speed,Pitch_Angle,Wind_Direction,Power_Active
7.509652,1449,-0.02,201.0139,807.2008
8.775909,1718,-0.05,198.9594,1211.967
9.105499,1762,0.95,202.6172,1112.235
6.23651,1125,-0.03,174.6171,771.4854
4.313429,1084,-0.04,161.6776,220.673
9.716158,1762,1.86,186.2695,1587.879
7.081517,1247,-0.01,162.1689,596.1108
4.967268,1296,-0.02,192.8325,305.4875
10.3845,1787,3.37,200.6804,1662.073
10.74315,1710,-0.05,171.429,1558.068
8.236897,1751,8.98,184.6804,1039.984
10.25167,1634,-0.03,181.8365,1460.893
7.317051,1401,0.0,186.493,742.8687
9.628933,1736,4.26,203.2402,1227.805
7.956776,1766,5.16,171.6313,753.2548
5.877705,1062,-0.05,173.9948,462.3488
6.480824,1691,-0.02,164.3342,496.6944
7.852944,1774,1.79,195.0004,878.0773
9.718435,1614,-0.03,169.4272,1418.966
10.85293,1767,2.99,164.0774,1654.019
9.407462,1747,6.08,185.7023,1368.224
9.939047,1767,0.52,176.5064,1402.567
12.56244,1814,15.84,185.5165,1954.764
12.88963,1754,16.54,194.9713,1915.908
11.37103,1811,7.85,190.6409,1874.412
14.36322,1733,7.47,188.3543,2069.667
11.2207,1750,1.1,153.1409,1672.813
8.834879,1776,0.12,178.1196,1084.259
10.2161,1711,-0.03,165.9228,1413.351
10.07228,1759,0.81,190.4211,1409.487
7.339514,1674,-0.05,188.6892,763.9911
7.411472,1739,1.33,208.1243,786.4874
12.96556,1748,2.84,174.8299,1832.054
9.815357,1763,2.07,188.0597,1463.274
10.03246,1774,5.65,170.8979,1509.423
10.30735,1677,-0.04,165.9319,1464.413
11.04034,1773,9.86,184.0408,1806.445
8.938841,1752,0.05,170.5248,1386.128
8.704576,1751,0.98,182.2389,1243.752
9.142348,1721,-0.05,183.5782,1383.129
10.86074,1748,0.21,171.492,1746.032
13.48536,1756,0.61,187.323,2005.963
13.28394,1766,2.02,170.8065,2032.665
11.97768,1758,3.0,174.7074,1988.852
14.01737,1787,5.94,163.8878,1956.598
13.07598,1767,10.61,199.8015,2002.009
13.07786,1734,10.79,180.2736,2054.929
11.56495,1783,7.5,185.5792,1788.12
10.63784,1758,0.92,174.6009,1737.011
8.077418,1787,1.82,191.1246,933.7476
9.528987,1743,-0.05,173.5189,1381.451
8.820347,1763,-0.03,184.6058,1234.291
11.87546,1739,3.28,184.9919,1899.437
9.139039,1542,-0.05,158.3484,1216.492
7.086679,1534,-0.04,177.7675,734.377
9.564851,1767,2.9,165.6179,1413.514
9.606915,1745,-0.06,189.8783,1443.716
8.923079,1759,0.21,183.6923,1326.561
7.885942,1149,-0.04,163.5562,988.9025
8.627439,1755,1.69,181.5013,1163.28
8.117444,1638,-0.04,182.6741,1149.367
8.471909,1795,4.42,190.3439,1188.157
8.738453,1772,2.37,169.4957,1155.926
9.242786,1582,-0.04,158.2458,1340.516
8.406281,1761,0.15,187.1153,1101.9
8.609199,1759,0.32,163.9746,1043.291
8.052337,1283,-0.04,189.3021,1033.953
7.839788,1653,-0.05,196.7587,897.9807
7.891047,1747,1.37,188.0266,865.2735
7.652011,1568,-0.01,170.12,796.7755
7.651283,1566,-0.03,194.6437,1055.195
8.559069,1780,2.43,179.5445,1060.697
8.480126,1522,-0.05,167.7574,1159.45
7.728081,1754,-0.01,180.2442,950.7248
8.832412,1581,-0.05,179.0849,1227.127
8.033825,1723,-0.05,175.9805,1131.733
7.956336,1349,-0.01,181.7662,1000.372
6.849441,1085,-0.02,180.4906,856.0917
7.798959,1756,0.24,175.5398,900.183
9.430783,1774,1.98,177.0178,1471.895
9.152685,1773,1.42,158.5734,1273.038
8.671897,1761,-0.03,163.9518,988.2785
8.676783,1751,1.22,172.3228,1304.795
8.560342,1684,-0.04,188.0138,1129.692
8.082392,1762,1.1,179.7552,1048.823
7.367519,1702,-0.04,179.3001,812.6334
8.122723,1778,1.33,176.8477,1075.656
7.411858,1611,-0.03,181.2645,871.6175
7.521806,1770,1.32,182.6511,865.2305
7.242734,1726,1.06,179.5658,756.8216
7.547454,1778,0.83,183.8615,903.0113
9.14973,1776,3.69,187.9819,1383.025
7.835061,1386,0.01,183.4881,1038.441
8.247139,1767,-0.05,172.1756,968.1701
8.664729,1772,-0.04,161.6742,1181.243
8.873534,1763,-0.03,167.936,1142.584
6.819397,1770,5.43,210.6125,595.6143
8.135586,1655,-0.04,182.3567,1062.655
8.694531,1762,0.53,175.8058,1163.738
8.467314,1766,0.01,182.8294,1041.235
11.57402,1772,12.72,177.4373,1868.289
8.53678,1767,0.0,166.5968,1152.726
9.369745,1725,-0.03,159.6534,1170.571
8.26431,1766,1.11,206.809,931.9893
11.59478,1800,9.83,152.2499,1632.942
9.163622,1783,10.65,193.8235,1258.398
11.26366,1776,1.11,177.1456,1679.267
10.68015,1763,1.66,165.667,1622.115
11.25281,1761,-0.05,203.7745,1701.47
9.243585,1769,2.19,200.4629,1293.069
6.241652,1494,-0.02,174.204,400.2318
